id,conversation_id,created_at,date,time,user_id,username,language,hashtags,cashtags,retweet,geo
1.50448E+18,1.50448E+18,2022-03-17 11:36:30 Eastern Daylight Time,3/17/2022,11:36:30,1.2575E+18,section420ty,en,"['yankees', 'baseball', 'sqaudup', 'springtraining2022', 'mlb', 'mlbfreeagency', 'yanks', 'bronx', 'newyorkyankees', 'nyy']",[],FALSE,"40.7128,-74.0060,50km"
1.50096E+18,1.50096E+18,2022-03-07 17:15:56 Eastern Standard Time,3/7/2022,17:15:56,59796268,sensei_sanchez,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50948E+18,1.50948E+18,2022-03-31 06:46:05 Eastern Daylight Time,3/31/2022,6:46:05,25256518,sergzilla,en,"['blerd', 'nerd', 'geek', 'gamer', 'gaymer', 'popculturejunkie', 'dccomics', 'batman', 'vampire']",[],FALSE,"34.0522,-118.2437,50km"
1.50244E+18,1.50244E+18,2022-03-11 19:04:08 Eastern Standard Time,3/11/2022,19:04:08,7.69758E+17,shjwrites,en,"['shjwrites', 'baseball', 'bardball', 'baseballpoetry', 'poem', 'poetry', 'lockout']",[],FALSE,"40.7128,-74.0060,50km"
1.50342E+18,1.50342E+18,2022-03-14 12:59:45 Eastern Daylight Time,3/14/2022,12:59:45,349967181,simonereports,en,[],[],FALSE,"40.7128,-74.0060,50km"
1.49876E+18,1.49876E+18,2022-03-01 15:27:17 Eastern Standard Time,3/1/2022,15:27:17,20689822,simononsports,en,[],[],FALSE,"41.8781,-87.6298,50km"
1.49879E+18,1.49879E+18,2022-03-01 17:21:04 Eastern Standard Time,3/1/2022,17:21:04,20689822,simononsports,en,[],[],FALSE,"41.8781,-87.6298,50km"
1.50944E+18,1.50943E+18,2022-03-31 03:39:51 Eastern Daylight Time,3/31/2022,3:39:51,9955112,simps,en,[],[],FALSE,"34.0522,-118.2437,50km"
1.5089E+18,1.50884E+18,2022-03-29 16:08:51 Eastern Daylight Time,3/29/2022,16:08:51,106765695,skywaychicago,en,[],[],FALSE,"41.8781,-87.6298,50km"
1.50788E+18,1.50788E+18,2022-03-26 20:37:43 Eastern Daylight Time,3/26/2022,20:37:43,1.46713E+18,sleb21,en,[],[],FALSE,"41.8781,-87.6298,50km"
1.5088E+18,1.5088E+18,2022-03-29 09:35:39 Eastern Daylight Time,3/29/2022,9:35:39,1037524099,smithandjeff,en,['amc'],['amc'],FALSE,"25.7617,-80.1918,50km"
1.5088E+18,1.5088E+18,2022-03-29 09:43:33 Eastern Daylight Time,3/29/2022,9:43:33,1037524099,smithandjeff,en,"['amc', 'gme']",[],FALSE,"25.7617,-80.1918,50km"
1.50886E+18,1.50886E+18,2022-03-29 13:53:19 Eastern Daylight Time,3/29/2022,13:53:19,1037524099,smithandjeff,en,[],[],FALSE,"25.7617,-80.1918,50km"
1.50204E+18,1.50204E+18,2022-03-10 17:00:08 Eastern Standard Time,3/10/2022,17:00:08,876148658,sndpodcast,en,"['nfl', 'mlb']",[],FALSE,"40.7128,-74.0060,50km"
1.50934E+18,1.50934E+18,2022-03-30 21:25:26 Eastern Daylight Time,3/30/2022,21:25:26,575694519,socal360,en,[],[],FALSE,"34.0522,-118.2437,50km"
1.50934E+18,1.50934E+18,2022-03-30 21:28:53 Eastern Daylight Time,3/30/2022,21:28:53,575694519,socal360,en,[],[],FALSE,"34.0522,-118.2437,50km"
1.50943E+18,1.50943E+18,2022-03-31 03:36:18 Eastern Daylight Time,3/31/2022,3:36:18,1448211,speedygo,en,"['anythinggoes', 'anythinggoesthemusicalincinemas', 'agmusicalcinema', 'amcempire25', 'broadwaymusicals']",[],FALSE,"40.7128,-74.0060,50km"
1.50939E+18,1.50939E+18,2022-03-31 00:56:28 Eastern Daylight Time,3/31/2022,0:56:28,619382210,spmikey83,en,['thebatman'],[],FALSE,"34.0522,-118.2437,50km"
1.50939E+18,1.50939E+18,2022-03-31 00:56:28 Eastern Daylight Time,3/31/2022,0:56:28,619382210,spmikey83,en,['thebatman'],[],FALSE,"34.0522,-118.2437,50km"
1.50166E+18,1.50166E+18,2022-03-09 15:43:41 Eastern Standard Time,3/9/2022,15:43:41,3058888848,sportscrockpot,en,"['mlb', 'mlblockout']",[],FALSE,"34.0522,-118.2437,50km"
1.50818E+18,1.50818E+18,2022-03-27 16:48:14 Eastern Daylight Time,3/27/2022,16:48:14,1.25272E+18,sportstalkj1,en,[],[],FALSE,"41.8781,-87.6298,50km"
1.50781E+18,1.50781E+18,2022-03-26 16:17:17 Eastern Daylight Time,3/26/2022,16:17:17,2382916472,stang_baseball,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50783E+18,1.50783E+18,2022-03-26 17:23:28 Eastern Daylight Time,3/26/2022,17:23:28,2382916472,stang_baseball,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50783E+18,1.50783E+18,2022-03-26 17:33:14 Eastern Daylight Time,3/26/2022,17:33:14,2382916472,stang_baseball,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50784E+18,1.50784E+18,2022-03-26 17:46:07 Eastern Daylight Time,3/26/2022,17:46:07,2382916472,stang_baseball,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50784E+18,1.50784E+18,2022-03-26 18:10:26 Eastern Daylight Time,3/26/2022,18:10:26,2382916472,stang_baseball,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50787E+18,1.50787E+18,2022-03-26 19:40:57 Eastern Daylight Time,3/26/2022,19:40:57,2382916472,stang_baseball,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50854E+18,1.50854E+18,2022-03-28 16:37:08 Eastern Daylight Time,3/28/2022,16:37:08,1.37327E+18,stdombaseball,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50858E+18,1.50858E+18,2022-03-28 19:02:13 Eastern Daylight Time,3/28/2022,19:02:13,1.37327E+18,stdombaseball,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50859E+18,1.50859E+18,2022-03-28 20:00:17 Eastern Daylight Time,3/28/2022,20:00:17,1.37327E+18,stdombaseball,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50921E+18,1.50921E+18,2022-03-30 12:25:11 Eastern Daylight Time,3/30/2022,12:25:11,1.37327E+18,stdombaseball,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50934E+18,1.50934E+18,2022-03-30 21:35:39 Eastern Daylight Time,3/30/2022,21:35:39,1.44735E+18,stephengladding,en,"['2026recruit', 'baseball']",[],FALSE,"25.7617,-80.1918,50km"
1.50937E+18,1.50931E+18,2022-03-30 23:15:43 Eastern Daylight Time,3/30/2022,23:15:43,4168236371,steve_quinlan,en,[],[],FALSE,"41.8781,-87.6298,50km"
1.50791E+18,1.50758E+18,2022-03-26 22:29:22 Eastern Daylight Time,3/26/2022,22:29:22,19673950,stldenise3d,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50879E+18,1.50879E+18,2022-03-29 08:41:08 Eastern Daylight Time,3/29/2022,8:41:08,55344097,stlmattress,en,['baseball'],[],FALSE,"38.6270,-90.1994,50km"
1.50966E+18,1.50966E+18,2022-03-31 18:19:27 Eastern Daylight Time,3/31/2022,18:19:27,4780771310,stlprepsports1,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50966E+18,1.50966E+18,2022-03-31 18:37:00 Eastern Daylight Time,3/31/2022,18:37:00,4780771310,stlprepsports1,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50967E+18,1.50967E+18,2022-03-31 18:59:07 Eastern Daylight Time,3/31/2022,18:59:07,4780771310,stlprepsports1,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50967E+18,1.50967E+18,2022-03-31 19:31:38 Eastern Daylight Time,3/31/2022,19:31:38,4780771310,stlprepsports1,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50676E+18,1.50676E+18,2022-03-23 18:26:48 Eastern Daylight Time,3/23/2022,18:26:48,18091053,stlprogressive,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50821E+18,1.50821E+18,2022-03-27 18:23:37 Eastern Daylight Time,3/27/2022,18:23:37,1907503442,stlterpmb,en,['baseball'],[],FALSE,"38.6270,-90.1994,50km"
1.50825E+18,1.50821E+18,2022-03-27 21:01:19 Eastern Daylight Time,3/27/2022,21:01:19,1907503442,stlterpmb,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50843E+18,1.50831E+18,2022-03-28 09:06:36 Eastern Daylight Time,3/28/2022,9:06:36,1907503442,stlterpmb,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50957E+18,1.50956E+18,2022-03-31 12:22:48 Eastern Daylight Time,3/31/2022,12:22:48,15893397,stormjib,en,[],[],FALSE,"40.7128,-74.0060,50km"
1.50529E+18,1.50529E+18,2022-03-19 17:21:56 Eastern Daylight Time,3/19/2022,17:21:56,38959740,stu_07,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50671E+18,1.50671E+18,2022-03-23 15:13:42 Eastern Daylight Time,3/23/2022,15:13:42,38959740,stu_07,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50853E+18,1.50853E+18,2022-03-28 15:53:21 Eastern Daylight Time,3/28/2022,15:53:21,2800256376,suenumbers624,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50964E+18,1.50964E+18,2022-03-31 16:53:34 Eastern Daylight Time,3/31/2022,16:53:34,17486293,supermixx,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50953E+18,1.50952E+18,2022-03-31 09:45:15 Eastern Daylight Time,3/31/2022,9:45:15,539699081,susandanzig219,en,[],[],FALSE,"41.8781,-87.6298,50km"
1.50894E+18,1.50894E+18,2022-03-29 19:11:11 Eastern Daylight Time,3/29/2022,19:11:11,557277380,sweettaypie0104,en,[],[],FALSE,"34.0522,-118.2437,50km"
1.50823E+18,1.50818E+18,2022-03-27 20:03:27 Eastern Daylight Time,3/27/2022,20:03:27,1.45518E+18,syco_skamatix,en,[],[],FALSE,"34.0522,-118.2437,50km"
